data;

set N:= 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49;
set M:= 50 51 52 53 54 55 56 57 58;
set F:= f0 f1 f2 f3 f4 f5 f6 f7;

param p:=
0 61.1996
1 59.8933
2 78.8642
3 95.1931
4 50.0180
5 73.8370
6 52.5442
7 96.8703
8 64.3641
9 90.3245
10 67.2116
11 76.6911
12 51.1758
13 58.7689
14 55.9253
15 52.0001
16 73.2552
17 95.6953
18 52.8161
19 53.1064
20 99.9815
21 95.2104
22 92.0774
23 50.7866
24 65.1101
25 87.0746
26 53.6365
27 73.6888
28 66.9816
29 52.7102
30 86.8577
31 78.1812
32 62.6034
33 65.7218
34 73.3743
35 62.6214
36 89.5589
37 75.9185
38 59.4918
39 53.9229
40 66.2430
41 76.7034
42 80.6141
43 67.4189
44 85.4723
45 86.5393
46 69.4189
47 58.7275
48 82.2347
49 72.2351
50 14.5406
51 8.2649
52 19.4211
53 17.4698
54 0.8137
55 18.0098
56 17.7738
57 9.4751
58 16.9891
;

param b:
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 :=
28 0.000000 0.000000 86.639306 59.523069 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 75.249095 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 84.262135 0.000000 0.000000 0.000000 90.329736 0.000000 0.000000 0.000000 0.000000 88.597247 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1000000 0.000000 0.000000 1000000 0.000000 0.000000 0.000000 0.000000 0.000000 
29 0.000000 0.000000 0.000000 58.823878 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 51.268809 0.000000 0.000000 68.956026 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 90.140364 0.000000 0.000000 0.000000 0.000000 0.000000 63.109553 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1000000 
30 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 83.494922 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 68.956026 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 91.173885 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
31 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 70.965849 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 51.277497 0.000000 84.262135 0.000000 0.000000 0.000000 0.000000 0.000000 83.871919 0.000000 0.000000 0.000000 0.000000 62.139734 63.318056 0.000000 56.953748 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1000000 0.000000 0.000000 0.000000 0.000000 0.000000 
32 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 70.506172 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 95.518910 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 77.960026 0.000000 53.496992 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1000000 0.000000 0.000000 
33 0.000000 83.002772 0.000000 0.000000 82.919750 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 80.997662 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 79.718756 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
34 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 57.599585 0.000000 0.000000 0.000000 94.362030 0.000000 0.000000 0.000000 63.158233 0.000000 0.000000 0.000000 78.990073 0.000000 0.000000 0.000000 0.000000 83.871919 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 61.953138 0.000000 85.316347 0.000000 0.000000 0.000000 92.876989 53.209121 0.000000 99.015902 0.000000 0.000000 0.000000 0.000000 1000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
35 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 95.816905 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 84.693891 0.000000 66.813384 0.000000 0.000000 0.000000 0.000000 0.000000 78.766564 0.000000 0.000000 0.000000 90.329736 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 64.082911 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 75.652294 1000000 0.000000 0.000000 1000000 0.000000 0.000000 0.000000 0.000000 0.000000 
36 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 90.781534 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 99.810628 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 57.308025 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 68.476146 0.000000 54.419051 60.964422 0.000000 0.000000 0.000000 54.961556 0.000000 0.000000 1000000 0.000000 0.000000 1000000 0.000000 0.000000 0.000000 
37 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 60.757436 0.000000 60.104788 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 64.082911 0.000000 0.000000 0.000000 68.272447 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1000000 0.000000 0.000000 1000000 0.000000 0.000000 0.000000 0.000000 0.000000 
38 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 60.758390 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 82.775305 63.514590 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 61.953138 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 94.847152 0.000000 0.000000 0.000000 0.000000 0.000000 1000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
39 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 92.901517 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 58.744017 0.000000 0.000000 0.000000 0.000000 90.140364 0.000000 62.139734 0.000000 0.000000 0.000000 0.000000 0.000000 68.272447 0.000000 0.000000 96.124649 0.000000 0.000000 0.000000 0.000000 99.270109 0.000000 0.000000 0.000000 97.466219 0.000000 0.000000 0.000000 1000000 0.000000 0.000000 1000000 0.000000 0.000000 
40 82.216208 53.911337 0.000000 0.000000 0.000000 69.459075 0.000000 0.000000 0.000000 67.311395 0.000000 0.000000 0.000000 0.000000 72.278736 0.000000 74.512306 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 88.597247 0.000000 0.000000 63.318056 0.000000 0.000000 85.316347 0.000000 0.000000 0.000000 0.000000 96.124649 0.000000 0.000000 87.867356 0.000000 98.735028 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1000000 0.000000 0.000000 0.000000 0.000000 0.000000 1000000 
41 0.000000 0.000000 0.000000 51.952926 0.000000 0.000000 0.000000 0.000000 59.668139 0.000000 0.000000 0.000000 61.569576 65.475483 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 86.300445 0.000000 90.336140 90.428101 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
